# lam[A]	I/Ic
5395.80000 0.99110
5395.80485 0.99200
5395.80970 0.99020
5395.81455 0.98730
5395.81939 0.98450
5395.82424 0.98170
5395.82909 0.97890
5395.83394 0.97620
5395.83879 0.97340
5395.84364 0.97060
5395.84848 0.96780
5395.85333 0.96500
5395.85818 0.96230
5395.86303 0.95950
5395.86788 0.95680
5395.87273 0.95370
5395.87758 0.94980
5395.88242 0.94570
5395.88727 0.94180
5395.89212 0.93780
5395.89697 0.93370
5395.90182 0.92970
5395.90667 0.92570
5395.91152 0.92170
5395.91636 0.91770
5395.92121 0.91370
5395.92606 0.90970
5395.93091 0.90570
5395.93576 0.90170
5395.94061 0.89700
5395.94545 0.89070
5395.95030 0.88420
5395.95515 0.87790
5395.96000 0.87150
5395.96485 0.86520
5395.96970 0.85880
5395.97455 0.85250
5395.97939 0.84610
5395.98424 0.83980
5395.98909 0.83340
5395.99394 0.82710
5395.99879 0.82060
5396.00364 0.81440
5396.00848 0.81030
5396.01333 0.80790
5396.01818 0.80580
5396.02303 0.80360
5396.02788 0.80140
5396.03273 0.79930
5396.03758 0.79710
5396.04242 0.79490
5396.04727 0.79270
5396.05212 0.79060
5396.05697 0.78830
5396.06182 0.78630
5396.06667 0.78400
5396.07152 0.78110
5396.07636 0.78420
5396.08121 0.79050
5396.08606 0.79570
5396.09091 0.80110
5396.09576 0.80650
5396.10061 0.81190
5396.10545 0.81730
5396.11030 0.82270
5396.11515 0.82810
5396.12000 0.83350
5396.12485 0.83900
5396.12970 0.84440
5396.13455 0.84970
5396.13939 0.85540
5396.14424 0.86180
5396.14909 0.86880
5396.15394 0.87570
5396.15879 0.88260
5396.16364 0.88950
5396.16848 0.89640
5396.17333 0.90330
5396.17818 0.91020
5396.18303 0.91710
5396.18788 0.92400
5396.19273 0.93090
5396.19758 0.93770
5396.20242 0.94490
5396.20727 0.95080
5396.21212 0.95420
5396.21697 0.95710
5396.22182 0.96000
5396.22667 0.96290
5396.23152 0.96580
5396.23636 0.96870
5396.24121 0.97160
5396.24606 0.97450
5396.25091 0.97740
5396.25576 0.98030
5396.26061 0.98310
5396.26545 0.98610
5396.27030 0.98890
5396.27515 0.99110
5396.28000 0.99230
